SD,LSID,Easting,Northing,Fecha_de_Deployment,Picada,Demarcación_Pozos,Limpieza_terreno,Excavación,ID_M101,RA_M101,RD_M101,PA_M101,ID_M102,RA_M102,RD_M102,PA_M102,ID_M103,RA_M103,RD_M103,PA_M103,Radio_Mikrotik,IP,Cap_HS,Radio_Uptime,Front_End,Panel_Solar_(SD),Cableado_UMDs,eKit_M101,eKit_M102,eKit_M103,AMIGA_Box,TX,Distrib.,Mallado,Tubing_PS,Soporte_PS,PS_AMIGA,BBox,Bateria_1,Bateria_2,Regulador,Status,Tipo,To_Do,ID_M101_CU,RA_M101_CU,RD_M101_CU,PA_M101_CU,ID_M102_CU,RA_M102_CU,RD_M102_CU,PA_M102_CU,ID_M103_CU,RA_M103_CU,RD_M103_CU,PA_M103_CU,ID_M104_CU,RA_M104_CU,RD_M104_CU,PA_M104_CU,ID_M105_CU,RA_M105_CU,RD_M105_CU,PA_M105_CU,ID_M106_CU,RA_M106_CU,RD_M106_CU,PA_M106_CU,ID_M107_CU,RA_M107_CU,RD_M107_CU,PA_M107_CU,ID_M108_CU,RA_M108_CU,RD_M108_CU,PA_M108_CU,ID_M109_CU,RA_M109_CU,RD_M109_CU,PA_M109_CU,eKit_M101_CU,eKit_M102_CU,eKit_M103_CU,eKit_M104_CU,eKit_M105_CU,eKit_M106_CU,eKit_M107_CU,eKit_M108_CU,eKit_M109_CU,a_M101_CU,a_M102_CU,a_M103_CU,a_M104_CU,a_M105_CU,a_M106_CU,a_M107_CU,a_M108_CU,a_M109_CU,label_M101,label_M102,label_M103,label_M101_CU,label_M102_CU,label_M103_CU,label_M104_CU,label_M105_CU,label_M106_CU,label_M107_CU,label_M108_CU,label_M109_CU
TRAK JR,20,451009.0,6114570.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,10.0.101.x,OK,OK,UUB-A-ext,200W,OK,-,-,-,UUB,UUB,SN0007-V7,-,-,-,-,-,-,-,-,In ACQ,Twins_KT,Reprogramar 105 (sacar bolsas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN007,SN008,SN009,SN010,,,,,,5,5,10,10,,,,,,,,,M105,M106,M107,M108,
PICHI-PEÑI-HUE,41,451009.77,6114578.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,10.0.99.x,OK,REBOOT,UUB,170W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Twins_KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTANZA,734,451375.98,6113928.15,9/3/19,OK,OK,OK,OK,M-040,2,"9,05",306,M-039,93,"7,8",345,M-038,93,"9,15",348,OK,10.0.43.x,OK,OK,UUB-A,170W,OK,SN0051,SN0116,SN0046,UUB-A,UUB-A,SN0001-V7,OK,OK,OK,M1031303023747,OK,57,62,18170230,In ACQ,Campo_Ibarra,"8/2/23: Revisar Constanza 101
22/3/23: Falta mallar T1 y Serie, y mejorar crimpeado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
PETER MAZUR,1765,451747.36,6114571.08,12/8/19,OK,OK,OK,OK,M-054,0,"9,6",65,M-055,90,"7,1",28,M-053,90,"8,6",23,OK,10.0.48.x,OK,OK,UUB-A,170W,OK,SN0048,SN0056,SN0057,UUB-A,UUB-A,SN0069-V7,,OK,OK,M1041303031833,OK,38,1,18170229,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Mo-Zilla"" (101)","""Mo-Zilla"" (102)","""Mo-Zilla"" (103)",,,,,,,,,
MORA,1769,451375.4,6115219.35,8/8/19,OK,OK,OK,OK,M-052,1,"8,9",60,M-051,90,"7,3",19,M-050,90,"8,8",16,OK,10.0.39.x,OK,OK,UUB-A,170W,OK,SN0050,SN0054,SN0063,UUB-A,UUB-A,SN0021-V7,,OK,OK,M1051303037605,OK,56,4,18170198,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
COMENIUS,1760,450997.88,6115869.18,16/10/19,OK,OK,OK,OK,M-063,0,"9,94",128,M-062,90,"8,7",164,M-064,90,"10,2",166,OK,10.0.84.x,OK,OK,UUB-A,170W,OK,SN0086,SN0082,SN0026,UUB-A,UUB-A,SN0027-V7,,OK,OK,M1041303031802,OK,6,43,18170369,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
NORBERTO W,1761,450249.22,6115870.55,12/9/19,OK,OK,OK,OK,M-058,0,"8,92",58,M-056,90,"7,4",17,M-057,90,"8,8",14,OK,10.0.34.x,OK,OK,UUB-A,170W,OK,SN0083,SN0089,SN0069,UUB-A,UUB-A,SN0034-V7,,OK,OK,"M1041303031765
",OK,68,69,18170370,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
WIWI,1762,449499.32,6115870.5,16/9/19,OK,OK,OK,OK,M-060,1,"9,55",54,M-059,91,"8,45",17,M-061,91,"9,9",15,OK,10.0.96.x,OK,OK,UUB-A,170W,OK,SN0072,SN0071,SN0070,UUB-A,UUB-A,SN0033-V7,,OK,OK,M1051303037599,OK,67,70,18170224,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
MELA,701,449130.77,6115224.06,18/10/19,OK,OK,OK,OK,M-065,358,"9,2",54,M-067,88,"7,55",15,M-066,88,"9,05",12,OK,10.0.76.x,OK,OK,UUB-A,170W,OK,SN0052,SN0061,SN0107,UUB-A,UUB-A,SN0025-V7,,OK,OK,M1051303037063,OK,65,66,18170213,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
LOCOS,1627,448748.46,6114581.29,,MAL,,,,,,,,,,,,,,,,OK,10.0.79.x,OK,OK,UUB-A,170W,,,,,,,,,,,,,,,, ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPERANZA,1625,449126.49,6113963.05,,MAL,,,,,,,,,,,,,,,,OK,10.0.93.x,OK,OK,UUB-A,170W,,,,,,,,,,,,,,,, ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANCK,1774,452124.61,6113920.77,23/11/22,OK,OK ,OK ,OK ,M-100,2,"9,2",55,M-098,92,"7,95",16,M-099,92,"9,5",14,OK,10.0.59.x,OK,OK,UUB-A,170W,OK,,,,,,SN0067-V7,,OK,OK,M1051303035526,OK,94,95,18170132,Deployed,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAUL SOMMERS,1763,452497.02,6114570.52,17/11/22,OK ,OK ,OK ,OK ,M-095,0,"9,14",55,M-097,89,"7,68",16,M-096,90,"9,24",13,OK,10.0.29.x,OK,OK,UUB-A,170W,OK,SN0146,SN0110,SN0120,,,SN0060-V7,,OK,OK,M1031209028587,OK,102,98,18170127,Deployed,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORIBIO,669,452130.04,6115232.39,19/12/19,OK,OK,OK,OK,M-076,1,"9,17",302,M-068,90,"7,67",342,M-071,90,"9,16",345,OK,10.0.87.x,OK,OK,UUB-A,170W,OK,SN0092,SN0115,SN0113,UUB-A,UUB-A,SN0052-V7,,OK,OK,M1031209028563,OK,31,2,18170242,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
CORREO ARG,1767,451749.64,6115868.46,18/12/19,OK,OK,OK,OK,M-069,1,"9,46",57,M-072,91,"7,88",19,M-070,91,"9,25",16,OK,10.0.74.x,OK,OK,UUB-A,170W,OK,SN0066,SN0081,SN0097,UUB-A,UUB-A,SN0022-V7,,OK,OK,M1031209028525,OK,52,23,18170225,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
PEA,698,451373.54,6116527.29,29/03/21,OK,OK,OK,OK,M-086,0,"9,4",58,M-088,90,"7,8",20,M-087,90,"9,2",17,OK,10.0.82.x,OK,OK,UUB-A,170W,OK,SN0077,SN0106,SN0104,UUB-A,UUB-A,SN0031-V7,,OK,OK,M1031209028617,OK,82,83,18170210,In ACQ,Campo_Ibarra,"8/2/23: Revisar Pea 101
1/3/23: Reparar cableado Pea 102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
CASA RONAL,1777,450627.76,6116516.36,24/2/21,OK,OK,OK,OK,M-077,0,"9,28",58,M-079,90,"7,7",19,M-078,90,"9,07",16,OK,10.0.42.x,OK,OK,UUB-A,170W,OK,SN0103,SN0091,SN0100,UUB-A,UUB-A,SN0017-V7,,OK,OK,M1031209028648,OK,80,81,18170204,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
LUISA,702,449877.65,6116523.59,23/2/21,OK,OK,OK,OK,M-080,0,"9,23",57,M-082,90,"7,8",19,M-081,90,"9,2",16,OK,10.0.24.x,OK,OK,UUB-A,170W,OK,SN0096,SN0108,SN0119,UUB-A,UUB-A,SN0026-V7,,OK,OK,M1031209028624,OK,86,87,18170239,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
RODRIGO,608,448372.44,6113923.74,,MAL,,,,,,,,,,,,,,,,,,,,UUB-A,50W,,,,,,,,,,,,,,,, ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAUDEL,819,452876.88,6113927.85,24/11/22,OK,OK ,OK ,OK ,M-102,0,"9,23",306,M-104,90,"8,1",345,M-103,90,"9,55",347,OK,10.0.70.x,OK,OK,UUB-A,170W,OK,SN0105,SN0137,SN0141,,,SN0046-V7,,OK,OK,M1031209028549,OK,93,96,18170139,Deployed,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELACI,1771,453244.93,6114571.23,1/12/22,OK,OK ,OK,OK,M-105,0,"9,4",55,M-101,90,"7,9",17,M-106,91,"9,5",14,OK,10.0.78.x,OK,OK,UUB-A,170W,OK,SN0074,SN0121,SN0130,UUB-A,UUB-A,SN0030-V7,OK,OK,OK,M1031209028655,OK,99,92,18170139,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIORGIO MA,1766,452874.51,6115217.09,15/10/21,OK,OK,OK,OK,M-092,2,"9,31",60,M-093,91,"7,6",21,M-094,91,"9,1",18,OK,10.0.85.x,OK,OK,UUB-A,170W,OK,SN0138,SN0132,SN0151,UUB-A,UUB-A,SN0016-V7,,OK,OK,M1021303031422,OK,91,90,18170214,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
E.T.,1770,452501.48,6115867.97,28/10/21,OK,OK,OK,OK,M-089,2,"9,21",58,M-090,92,"7,8",19,M-091,92,"9,35",16,OK,10.0.57.x,OK,OK,UUB-A,170W,OK,SN0135,SN0129,SN0133,UUB-A,UUB-A,SN0024-V7,,OK,OK,M1021303031446,OK,84,85,18170217,In ACQ,Campo_Ibarra,Revisar SN de PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
FRANQUITO,1776,452119.13,6116522.42,31/3/21,OK,OK,OK,OK,M-083,0,"9,41",58,M-085,90,"7,75",20,M-084,90,"9,15",17,OK,10.0.80.x,OK,OK,UUB-A,170W,OK,SN0080,SN0076,SN0099,UUB-A,UUB-A,SN0018-V7,,OK,OK,M1031209028600,OK,89,88,18170209,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
F. CONTRER,1775,453624.65,6113923.5,15/12/22,OK,OK,OK,OK,M-112,0,"9,2",51,M-110,90,"8,2",12,M-111,90,"9,7",10,OK,10.0.47.x,OK,OK,UUB-A,170W,OK,SN0139,SN0140,SN0128,UUB-A,UUB-A,SN0019-V7,OK,OK,OK,M1031209028518,OK,104,100,18170368,In ACQ,Campo_Ibarra,Revisar SN de PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
